X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.3578379074683384,0.1280479680213191,0.3841292404314898,1.3024701806293193
"When playing games, I am generally... [Critical - Trusting]",-0.033922676577637915,0.001150747986191024,0.9364437601362068,0.8864052604279183
"When playing games, I prefer to be...[Spontaneous - Conscientious]",0.32148879429433747,0.10335504485682682,0.43745503592064805,1.3562026818605375
"When playing games, I consider myself to be...[Self conscious- even tempered]",0.5613152399669035,0.3150747986191024,0.1477081732711034,0.9910312089651149
"When playing games, I generally...[Prefer similarity - Am open to change]",-0.19487094073848926,0.03797468354430379,0.6437618069403265,0.9258200997725514
I consider myself to be..._Equally motivated by external and internal factors,-0.02904964468870635,0.000843881856540085,0.9455625515360472,0.5175491695067657
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",0.552816232231331,0.3056057866184449,0.15528803333685873,0.3535533905932738
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",-0.3375263702778071,0.11392405063291133,0.4135607761404581,0.5345224838248488
Beating my competitors,0.20334751282094438,0.04135021097046414,0.6291036072673336,0.5175491695067657
Mastering the game,-0.11250879009260237,0.01265822784810126,0.7908194606890704,0.5345224838248488
Earning the most points,-0.1275729766687687,0.016274864376130207,0.7633832884594558,0.3535533905932738
Working with a team,-0.4546988617231418,0.20675105485232081,0.2576627620418056,0.4629100498862757
Feeling immersed in the story/plot,0.11250879009260237,0.01265822784810126,0.7908194606890704,0.5345224838248488
