X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.6080948009373167,0.36977928692699485,0.10971749215012927,1.3024701806293193
"When playing games, I am generally... [Critical - Trusting]",0.7039894693960471,0.495601173020528,0.05129940537293305,0.8864052604279183
"When playing games, I prefer to be...[Spontaneous - Conscientious]",-0.7963666317023489,0.6341998120889446,0.018017220869788887,1.3562026818605375
"When playing games, I consider myself to be...[Self conscious- even tempered]",0.4601415057116587,0.21173020527859243,0.25128149747643547,0.9910312089651149
"When playing games, I generally...[Prefer similarity - Am open to change]",-0.10369516947304255,0.010752688172043017,0.8069608135408188,0.9258200997725514
I consider myself to be..._Equally motivated by external and internal factors,0.04637388957601685,0.002150537634408604,0.9131735376120051,0.5175491695067657
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",-0.33942211665106525,0.11520737327188935,0.41077404647282123,0.3535533905932738
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",0.17960530202677485,0.03225806451612902,0.6704121226595029,0.5345224838248488
Beating my competitors,0.7883561227922861,0.621505376344086,0.02009767641217441,0.5175491695067657
Mastering the game,0.5388159060803246,0.29032258064516114,0.16822747484894734,0.5345224838248488
Earning the most points,0.2036532699906392,0.041474654377880185,0.6285768124176327,0.3535533905932738
Working with a team,-0.10369516947304258,0.010752688172043022,0.8069608135408188,0.4629100498862757
Feeling immersed in the story/plot,0.17960530202677488,0.032258064516129024,0.6704121226595029,0.5345224838248488
