X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.2784097012003856,0.07751196172248799,0.5043296449408291,1.3024701806293193
"When playing games, I am generally... [Critical - Trusting]",0.2727272727272727,0.07438016528925619,0.5134274236111542,0.8864052604279183
"When playing games, I prefer to be...[Spontaneous - Conscientious]",-0.14854397775557662,0.02206531332744924,0.7255500074224365,1.3562026818605375
"When playing games, I consider myself to be...[Self conscious- even tempered]",-0.3659020326817838,0.13388429752066117,0.37270981105156226,0.9910312089651149
"When playing games, I generally...[Prefer similarity - Am open to change]",0.5222329678670935,0.2727272727272727,0.18428073614148216,0.9258200997725514
I consider myself to be..._Equally motivated by external and internal factors,-0.23354968324845687,0.054545454545454536,0.5777576139881617,0.5175491695067657
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",0.3418817293789138,0.11688311688311687,0.4071705077172182,0.3535533905932738
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",3.469446951953614e-17,1.2037062152420224e-33,1.0,0.5345224838248488
Beating my competitors,-0.23354968324845682,0.05454545454545451,0.5777576139881617,0.5175491695067657
Mastering the game,-0.6030226891555271,0.36363636363636354,0.1135317286484348,0.5345224838248488
Earning the most points,0.7977240352174656,0.6363636363636362,0.017678667376839867,0.3535533905932738
Working with a team,-0.17407765595569782,0.030303030303030297,0.6801383015910456,0.4629100498862757
Feeling immersed in the story/plot,7.632783294297951e-17,5.8259380817713885e-33,1.0,0.5345224838248488
