X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.18847040607500498,0.03552109396607728,0.12375974718383978,1.1294602345467057
"When playing games, I am generally... [Critical - Trusting]",-0.0658762859270999,0.0043396850475490205,0.5935223144526538,0.8662788128326667
"When playing games, I prefer to be...[Spontaneous - Conscientious]",0.11930991432658679,0.014234855656617479,0.3325045687878537,1.2147578043651437
"When playing games, I consider myself to be...[Self conscious- even tempered]",-0.15705684130068986,0.02466685139935008,0.20087335994142502,1.1765748417372162
"When playing games, I generally...[Prefer similarity - Am open to change]",0.027124464452217972,0.0007357365718196364,0.8262079660839706,1.0686489299847286
I consider myself to be..._Equally motivated by external and internal factors,0.08453219146933699,0.00714569139460865,0.4931073265721606,0.49292625715781274
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",0.03418474716003128,0.0011685969383952667,0.7819726534356156,0.37097266736211576
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",-0.12718259854113317,0.01617541337167505,0.3013537004949403,0.4273363196758909
Beating my competitors,0.1408156747587245,0.019829054257754882,0.2520495282635429,0.5017528537548116
Mastering the game,-0.012637304145013746,0.0001597014560535816,0.9185329236486884,0.5017528537548117
Earning the most points,0.13623151003192435,0.018559024325578304,0.26797403783598817,0.4654432309413774
Working with a team,0.16731314519318627,0.02799368855443623,0.17264464847981353,0.5034996052651831
Feeling immersed in the story/plot,-0.32906779357018323,0.10828561276514873,0.006143642278661309,0.4982409795961215
