X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.14728718526695803,0.021693514943863217,0.23068608538149027,1.1294602345467057
"When playing games, I am generally... [Critical - Trusting]",-0.06980465787903324,0.004872690261608878,0.5716367037022806,0.8662788128326667
"When playing games, I prefer to be...[Spontaneous - Conscientious]",0.21354481420687504,0.04560138767464878,0.08037424333610152,1.2147578043651437
"When playing games, I consider myself to be...[Self conscious- even tempered]",-0.17474367090189205,0.030535350520268754,0.15408497771495547,1.1765748417372162
"When playing games, I generally...[Prefer similarity - Am open to change]",-0.16190452020002688,0.026213073661200913,0.1871463141592912,1.0686489299847286
I consider myself to be..._Equally motivated by external and internal factors,-0.030543858106457676,0.0009329272680274203,0.804707689890151,0.49292625715781274
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",0.02993964264040252,0.0008963822014350089,0.8084968467528483,0.37097266736211576
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",0.009241153591606713,8.539891970366567e-05,0.9403792065486838,0.4273363196758909
Beating my competitors,0.13527540842035027,0.018299436123292573,0.27137863901747855,0.5017528537548116
Mastering the game,0.03492565090125407,0.001219801090876269,0.7773677138338164,0.5017528537548117
Earning the most points,-0.042953080060669294,0.001844967086698266,0.7279949406183062,0.4654432309413774
Working with a team,-0.23382732205695925,0.05467521654032894,0.05496691190154743,0.5034996052651831
Feeling immersed in the story/plot,-0.13721965893663174,0.018829234798685538,0.26448557742946965,0.4982409795961215
