X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.2140665094267606,0.04582447045815738,0.0796205150529527,1.1294602345467057
"When playing games, I am generally... [Critical - Trusting]",0.02214272920988835,0.0004903004568624428,0.8577568712191659,0.8662788128326667
"When playing games, I prefer to be...[Spontaneous - Conscientious]",-0.22510812088658697,0.05067366608909025,0.06494450861881419,1.2147578043651437
"When playing games, I consider myself to be...[Self conscious- even tempered]",-0.12246256473068891,0.014997079760418171,0.31979433291805526,1.1765748417372162
"When playing games, I generally...[Prefer similarity - Am open to change]",-0.03130737059981083,0.0009801514538738993,0.799925962837604,1.0686489299847286
I consider myself to be..._Equally motivated by external and internal factors,0.1457015961208255,0.021228955112156153,0.23580013359138785,0.49292625715781274
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",-0.06373152974642794,0.004061707883819829,0.6056270483301149,0.37097266736211576
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",-0.11273904097175065,0.012710091359230073,0.3600043367026709,0.4273363196758909
Beating my competitors,0.121801069572277,0.014835500548950662,0.3224351335298565,0.5017528537548116
Mastering the game,-0.15025095443587455,0.02257534930889125,0.2213346182285816,0.5017528537548117
Earning the most points,0.07188113580351337,0.005166897684403131,0.5602219097568204,0.4654432309413774
Working with a team,0.039868855199402586,0.0015895256149109306,0.7468466398774326,0.5034996052651831
Feeling immersed in the story/plot,-0.13340349562755133,0.017796492645650107,0.2781278719504223,0.4982409795961215
