X Feature,r,r²,p-val,std-dev
"When playing games, I consider myelf to be... [Introverted - Extraverted]",0.3703987657945998,0.1371952457021628,0.0018762605225126885,1.1294602345467057
"When playing games, I am generally... [Critical - Trusting]",0.026622978179174483,0.0007087829671288007,0.8293723233195283,0.8662788128326667
"When playing games, I prefer to be...[Spontaneous - Conscientious]",0.01457035439573454,0.00021229522721730081,0.9061240103703685,1.2147578043651437
"When playing games, I consider myself to be...[Self conscious- even tempered]",-0.17823913790057228,0.03176919027953922,0.14588509965492297,1.1765748417372162
"When playing games, I generally...[Prefer similarity - Am open to change]",-0.00351324840762458,1.2342914373676647e-05,0.9773160479820289,1.0686489299847286
I consider myself to be..._Equally motivated by external and internal factors,-0.046787773213999344,0.0021890957223246344,0.7047796528738072,0.49292625715781274
"I consider myself to be..._Highly motivated by external rewards (e.g. leaderboard, badges, etc.)",0.16915694080575613,0.028614070622762083,0.1678938103228574,0.37097266736211576
"I consider myself to be..._Highly motivated by internal rewards (e.g. improving my own skills, learning)",-0.092876916318519,0.008626121584837183,0.45126137883827316,0.4273363196758909
Beating my competitors,0.18278987357322507,0.033412137880915606,0.13570437302546556,0.5017528537548116
Mastering the game,-0.07161942414857357,0.005129341915373283,0.5616546250221626,0.5017528537548117
Earning the most points,0.1647840574271729,0.027153785582161815,0.17931998726522652,0.4654432309413774
Working with a team,0.08415381912435828,0.007081865273215209,0.49505165810867935,0.5034996052651831
Feeling immersed in the story/plot,-0.08719497298113921,0.007602963313181596,0.4795379769906192,0.4982409795961215
